track_id,name,artist,album,release_year,release_date,release_date_precision,disc_number,track_number,total_tracks,explicit,popularity,external_id,duration_ms,preview_url,play_count
5d3y9oPrTUm1LyIIAeummq,サラバ､愛しき悲しみたちよ,Momoiro Clover Z,サラバ､愛しき悲しみたちよ,2012.0,2012-11-21,day,1,1,3,False,28,JPKI01216926,298786,https://p.scdn.co/mp3-preview/d09e0bb405e9d86dc7bb0cbf3d56f81d5d2fc03f,4977491
0BDtQ3XsoRHYYcHvvVgFLE,ナイショの話,ClariS,BIRTHDAY,2012.0,2012-04-11,day,1,11,12,False,39,JPU901101461,261413,https://p.scdn.co/mp3-preview/ad60780b5ed696c092ba10d0bff3d6aeb853b22a,4962662
5OYi6DORnGytA7cNwVQpJC,ルミナス,ClariS,ルミナス,2012.0,2012-10-03,day,1,1,1,False,28,JPU901201361,251400,https://p.scdn.co/mp3-preview/a45a8d2af0bafa278529d4e8ecb470d3f8e2db55,4943268
0UMy0E7GvXbzsOlSyF54B1,助演女優症,back number,青い春,2012.0,2012-11-07,day,1,2,6,False,28,JPPO01220668,303933,https://p.scdn.co/mp3-preview/d4ad099c7ee4dc52a7e027fdbeeeb8b9cdc4bcdc,4934982
4oXpABVT5tiQla1Zr49nk7,北ウイング - 30th anniversary mix,Akina Nakamori,ベスト・コレクション 〜ラブ・ソングス&ポップ・ソングス〜,2012.0,2012-08-01,day,1,4,34,False,37,JPWP01270547,284986,https://p.scdn.co/mp3-preview/5c2229638c2fa4c40854b29e82fb0d38a1ac7dce,4882987
3jMN99AzfIU0bWJVfi7uKF,7th Trigger,UVERworld,7ｔｈ Trigger,2012.0,2012-03-28,day,1,1,3,False,24,JPSR01200901,266453,https://p.scdn.co/mp3-preview/d5281e494677874a135da06cd21d3ca4c3757f6f,4854477
05fuWARtOqZgc1mzjf5l0C,恋と病熱,Kenshi Yonezu,diorama,2012.0,2012-05-16,day,1,9,14,False,44,JPA651201884,262533,https://p.scdn.co/mp3-preview/c89ba97bd4695c361afd52e7c6aea785e57def6a,4851131
35Lx393kD6NjKsP4bQnNTq,シュプレヒコール,RADWIMPS,シュプレヒコール,2012.0,2012-08-01,day,1,1,2,False,39,JPTO01201778,343600,https://p.scdn.co/mp3-preview/c6e40558c93375cb30387fb59b123fedb4de2932,4706637
4fz3FktpOpbQ4YzG8yslvX,LA・LA・LA LOVE SONG,EXILE,EXILE JAPAN / Solo,2012.0,2012-01-01,day,1,10,27,False,42,JPB601107712,284693,https://p.scdn.co/mp3-preview/fb2ff63569f69a09e4347cba24c7a1816dd082d3,4683424
4ih8ybOwn5Mfmu0EY6THjr,あめふり婦人,Kenshi Yonezu,diorama,2012.0,2012-05-16,day,1,5,14,False,42,JPA651201880,179466,https://p.scdn.co/mp3-preview/dfe0bcf6767e5344e01090b8ad2e25b2a6e86b85,4658637
06tS8DJvpQPGW9MBpbnuaL,Your Eyes,ARASHI,Your Eyes,2012.0,2012-06-06,day,1,1,1,False,39,JPQ401200500,278193,https://p.scdn.co/mp3-preview/8fade772520f0da5fe4142600e3d3240de9b2a79,4227404
